,Unnamed: 0,id,topic,from,to,contents,date,type
0,0,41,PMGDISHA,DR  T  SUMATHY (a) THAMIZHACHI THANGAPANDIAN,ELECTRONICS  AND INFORMATION TECHNOLOGY,"(a) the State-wise details of rural households that
have been covered under Pradhan Mantri Gramin Digital
Saksharta Abhiyaan (PMGDISHA) out of the six crore
rural households; (b) whether marginalised sections of the society
including Scheduled Castes (SCs)/Scheduled Tribes
(STs), women, differently-abled persons, etc.
have been enrolled and certified and if so, the details
thereof; (c) whether the Standing Committee on Information
Technology emphasised the need to scale up and also
conduct quality impact assessments of PMGDISHA and
other digital literacy programmes; and (d) if so, the action taken by the Government in this regard?",2021-12-01,STARRED
1,1,42,Track Electrification Projects,MS  DEBASREE CHAUDHURI,RAILWAYS,"(a) whether the Railways proposes to fast track
railway lines electrification projects in the country in
view of rising expenditure on fuel; (b) if so, the details and present status of ongoing projects, State-wise; (c) the details of the targets achieved so far, State- wise; and (d) the steps taken/being taken to expedite the projects, State-wise?",2021-12-01,STARRED
2,2,43,Mini LPG Cylinders,SHRI SRIDHAR KOTAGIRI & SHRI N  REDDEPPA,CONSUMER AFFAIRS,"(a) whether the Government has received any
proposal from the Oil Marketing Companies to sell mini
LPG cylinders through ration/fair price shops in the
country; (b) if so, the details thereof; (c) whether this has been implemented in a pilot mode in the country; and (d) if so, the details thereof?",2021-12-01,STARRED
3,3,44,Container Manufacturing Facility,SHRI KURUVA GORANTLA MADHAV & SHRI TALARI RANGAIAH,RAILWAYS,"(a) whether the Government is aware of the fact that
Andhra Pradesh has 170 million tonnes cargo turnover
which is second only to Gujarat in the country; (b) if so, whether the Government has any plans of
setting up a container manufacturing facility in Andhra
Pradesh; and (c) if so, the details thereof and if not, the reasons therefor? 12",2021-12-01,STARRED
4,4,45,Rolling Auctions,SHRIMATI CHINTA ANURADHA & DR  BEESETTI VENKATA SATYAVATHI,COAL,"(a) whether the Government has introduced a
mechanism of rolling auctions to expedite the auction
process in the coal mining sector; (b) if so, the details thereof; (c) whether any new mines have been identified to become a part of this rolling auction process; and (d) if so, the details thereof?",2021-12-01,STARRED
5,5,46,Anti-dumping Duty,SHRI RAVIKUMAR D,COMMERCE AND INDUSTRY,"(a) whether the Directorate General of Trade
Remedies (DGTR) has observed the need for imposing
anti-dumping duty on goods and services that are
imported to protect the local goods and services; (b) if so, the details of such observations during the past five years; (c) whether all such observations by DGTR have been implemented; (d) if so, the details thereof; (e) if not, the reasons therefor?",2021-12-01,STARRED
6,6,47,National Social Registry,SHRI FEROZE VARUN GANDHI,ELECTRONICS  AND INFORMATION TECHNOLOGY,"(a) whether the Government is developing a National Social Registry; (b) if so, the objectives of developing and maintaining the National Social Registry; (c) the citizen-related details that the Government proposes to store in the National Social Registry; (d) whether the Government is aware of the Supreme
Court’s observations in the case of Puttaswamy vs.
Union of India that the profiling of citizens by the State
could result in discrimination based on religion, ethnicity
and caste; and (e) the measures that the Government is adopting to
check the breach and misuse of data in the Registry?  
 .",2021-12-01,STARRED
7,7,48,Communication Services in Rural Areas,SHRI RAHUL KASWAN,COMMUNICATIONS,"(a) whether the Government is aware that the mobile,
internet along with the other telecommunication services
in the rural areas of the country are not satisfactory; (b) if so, the details thereof along with the number
of such areas in Rajasthan where telecommunication
services are poor and the Government’s response thereto; (c) whether the Government proposes to resolve the
said situation in such areas and has taken steps in this
regard and if so, the details thereof; and (d) whether the Government has plans to install
mobile towers at various places in Churu Parliamentary
Constituency as per the demand and need of the mobile
facility and if so, the location-wise details thereof?",2021-12-01,STARRED
8,8,49,Pehchan Yojana,SHRI BIDYUT BARAN MAHATO & SHRI SUBRAT PATHAK,TEXTILES,"(a) the aims and objectives of ‘Pehchan’ yojana
launched for registering handicraft artisans in the entire
country in the year 2016; (b) the number of artisans registered under the said scheme so far, Sate-wise; (c) whether there is any provision to provide financial
benefit/assistance to these registered handicraft artisans
under the said scheme; (d) if so, the details thereof along with the number of artisans benefitted so far; and (e) the details of other steps taken/being taken by
the Government to improve the financial position of
artisans in the country?",2021-12-01,STARRED
9,9,50,Diversion of Foodgrains for Ethanol,SHRI NATARAJAN P R,CONSUMER AFFAIRS,"(a) whether the Government had taken any decision
to increase the diversion of foodgrains and sugarcane
for ethanol production by reducing per capita foodgrains
availability; (b) if so, the details thereof; (c) whether detailed discussions have been
undertaken with the stakeholders and food safety experts
on the implications of this increase in the magnitude of
hunger; 13 (d) if so, the steps taken for foodgrains stock availability as per the norms; and (e) if not, the reasons therefor?",2021-12-01,STARRED
